STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,FLEET_SIZE,Fleet size,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,FRA,France,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2018,,6373,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,FRA,France,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2019,,6237,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CRI,Costa Rica,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2011,,3771,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CRI,Costa Rica,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2012,,1345,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CRI,Costa Rica,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2013,,1552,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CRI,Costa Rica,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2014,,1703,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CRI,Costa Rica,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2015,,1912,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CRI,Costa Rica,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2016,,1574,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,NZL,New Zealand,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2018,,1168,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CRI,Costa Rica,A,Annual,VES,Vessels,VS,Vessels,_T,Total,2019,,2715,,A,Normal value,,,0,Units,0,Zero,,
