STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,SPECIES,Species,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention,CURRENCY,Currency
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,BEL,Belgium,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,2018,,283,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,BEL,Belgium,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,2019,,283,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,LUX,Luxembourg,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,2011,,0,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,BEL,Belgium,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,2020,,283,,E,Estimated value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,USA,United States,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,2017,,18334,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,USA,United States,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,2018,,20446,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,USA,United States,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,2019,,14337,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,PER,Peru,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,2018,,19465,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,PER,Peru,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,2019,,18780.838,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,PER,Peru,A,Annual,INLAND_FISH,Inland fisheries,_T,Total,T,Tonnes,2020,,16292.73,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
