STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,FLEET_SIZE,Fleet size,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2003,,185,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2004,,177,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2005,,162,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2006,,130,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2007,,98,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2008,,81,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2009,,79,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2010,,79,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2011,,85,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2012,,80,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2013,,76,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2014,,78,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2015,,78,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2016,,73,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2017,,65,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2018,,59,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2019,,59,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,VS,Vessels,LOA_12_18,12-17.9 m,2020,,61,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2006,,3700,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2007,,2628,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2008,,1198,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2009,,863,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2010,,1942,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2011,,1942,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2012,,2192,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2013,,2877,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2014,,2877,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2015,,4214,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2016,,977,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2017,,2048,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2018,,1798,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2019,,2048,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,AUS,Australia,A,Annual,VES,Vessels,GT,Gross tonnage,LOA_36_45,36-44.9 m,2020,,2048,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CAN,Canada,A,Annual,VES,Vessels,VS,Vessels,LOA_6_12,6-11.9 m,1995,,24193,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CAN,Canada,A,Annual,VES,Vessels,VS,Vessels,LOA_6_12,6-11.9 m,1996,,22520,,A,Normal value,,,0,Units,0,Zero,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_FLEET@DF_FISH_FLEET(1.0),Fishing fleet,I,CAN,Canada,A,Annual,VES,Vessels,VS,Vessels,LOA_6_12,6-11.9 m,1997,,21130,,A,Normal value,,,0,Units,0,Zero,,
