STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,SPECIES,Species,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVENTION,Agricultural convention,CURRENCY,Currency
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,MYS,Malaysia,A,Annual,INLAND_FISH,Inland fisheries,TLN,Nile tilapia [Oreochromis niloticus],T,Tonnes,2021,,571.51,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2000,,5,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2001,,2,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2002,,1,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2003,,0,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2004,,2,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2005,,2,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2006,,0,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2007,,1,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2008,,2,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2009,,1,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
DATAFLOW,OECD.TAD.ARP:DSD_FISH_PROD@DF_FISH_INLAND(1.0),Inland fisheries,I,POL,Poland,A,Annual,INLAND_FISH,Inland fisheries,VIV,Vimba bream [Vimba vimba],T,Tonnes,2010,,1,,A,Normal value,,,0,Units,0,Zero,LW,Live weight,,
