STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,AGE,,SEX,,EDUCATION_LEV,,DOMAIN,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,,BASE_PER,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,PRT,,10_1,,DT_10P5HB,,_T,,F,,_T,,HSL_10,,2007,,0.6,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,PRT,,10_1,,DT_10P5HB,,_T,,F,,_T,,HSL_10,,2008,,0.8,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,PRT,,10_1,,DT_10P5HB,,_T,,F,,_T,,HSL_10,,2009,,0.5,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,PRT,,10_1,,DT_10P5HB,,_T,,F,,_T,,HSL_10,,2010,,0.8,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,PRT,,10_1,,DT_10P5HB,,_T,,F,,_T,,HSL_10,,2011,,0.6,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,PRT,,10_1,,DT_10P5HB,,_T,,F,,_T,,HSL_10,,2012,,0.7,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,PRT,,10_1,,DT_10P5HB,,_T,,F,,_T,,HSL_10,,2013,,0.6,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,PRT,,10_1,,DT_10P5HB,,_T,,F,,_T,,HSL_10,,2014,,1,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,PRT,,10_1,,DT_10P5HB,,_T,,F,,_T,,HSL_10,,2015,,0.6,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,PRT,,10_1,,DT_10P5HB,,_T,,F,,_T,,HSL_10,,2016,,0.4,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,PRT,,10_1,,DT_10P5HB,,_T,,F,,_T,,HSL_10,,2017,,0.4,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,PRT,,10_1,,DT_10P5HB,,_T,,F,,_T,,HSL_10,,2018,,0.5,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,PRT,,10_1,,DT_10P5HB,,_T,,F,,_T,,HSL_10,,2019,,0.7,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2006,,72.711555712837,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2008,,67.5330116391843,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2009,,67.5330116391843,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2010,,67.5330116391843,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2011,,72.8119616588477,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2012,,72.8119616588477,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2013,,72.8119616588477,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2014,,76.5002024475467,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2015,,76.5002024475467,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2016,,76.5002024475467,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2017,,77.5364740839443,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2018,,77.5364740839443,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2019,,77.5364740839443,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2020,,73.7454653224659,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2021,,73.7454653224659,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2022,,77.7234001638793,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,IRL,,10_2,,PT_POP_Y_GE15,,_T,,_T,,_T,,HSL_10,,2023,,77.7234001638793,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2006,,48.0543764052681,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2007,,48.0543764052681,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2008,,48.0543764052681,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2009,,37.6299650351425,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2010,,37.6299650351425,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2011,,37.6299650351425,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2012,,37.6299650351425,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2013,,37.6299650351425,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2014,,46.1712993008626,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2015,,46.1712993008626,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2016,,46.1712993008626,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2017,,46.1712993008626,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2018,,46.1712993008626,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2019,,43.3105663169478,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2020,,43.3105663169478,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2021,,43.3105663169478,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2022,,43.3105663169478,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,COL,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_5T8,,HSL_10,,2023,,43.3105663169478,,D,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2006,,60.3741394569655,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2007,,60.3741394569655,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2008,,60.3741394569655,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2009,,63.4641678667784,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2011,,63.4641678667784,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2012,,63.4641678667784,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2013,,63.4641678667784,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2014,,74.5821311447936,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2015,,74.5821311447936,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2016,,74.5821311447936,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2017,,74.5821311447936,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2018,,74.5821311447936,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2019,,84.0263349166381,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2020,,84.0263349166381,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2021,,84.0263349166381,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2022,,84.0263349166381,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,EST,,10_2,,PT_POP_Y_GE15_SUB,,_T,,_T,,ISCED11_2_3,,HSL_10,,2023,,84.0263349166381,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,KOR,,10_2,,PT_POP_Y_GE15_SUB,,_T,,M,,_T,,HSL_10,,2006,,72.4165012272171,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,KOR,,10_2,,PT_POP_Y_GE15_SUB,,_T,,M,,_T,,HSL_10,,2007,,72.4165012272171,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,KOR,,10_2,,PT_POP_Y_GE15_SUB,,_T,,M,,_T,,HSL_10,,2008,,71.8018721214303,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,KOR,,10_2,,PT_POP_Y_GE15_SUB,,_T,,M,,_T,,HSL_10,,2009,,71.8018721214303,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,KOR,,10_2,,PT_POP_Y_GE15_SUB,,_T,,M,,_T,,HSL_10,,2010,,71.8018721214303,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,KOR,,10_2,,PT_POP_Y_GE15_SUB,,_T,,M,,_T,,HSL_10,,2011,,73.1608478162088,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,KOR,,10_2,,PT_POP_Y_GE15_SUB,,_T,,M,,_T,,HSL_10,,2012,,73.1608478162088,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,KOR,,10_2,,PT_POP_Y_GE15_SUB,,_T,,M,,_T,,HSL_10,,2013,,73.1608478162088,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,KOR,,10_2,,PT_POP_Y_GE15_SUB,,_T,,M,,_T,,HSL_10,,2014,,71.8080979007458,,A,,0,,2,,,
DATAFLOW,OECD.WISE.WDP:DSD_HSL@DF_HSL_CWB(1.1),,I,KOR,,10_2,,PT_POP_Y_GE15_SUB,,_T,,M,,_T,,HSL_10,,2015,,71.8080979007458,,A,,0,,2,,,
